"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050673","epithelial cell proliferation","146/4095","482/18986",0.302904564315353,1.40438243176832,4.71577755193724,3.63709525471388e-06,0.000207814947214294,0.000168454938113064,"ARX/DLX6/CCL26/PAX6/IGF1/SNAI2/HGF/PTPRN/RASGRF1/NGFR/CLDN18/TGFBR3/FAP/CPB2/APOH/ESR1/HMOX1/SIX4/FERMT1/EYA1/SFRP1/FGL1/DLX5/WNT2/GATA3/CXCL12/CCL2/ODAM/MDK/CALCA/GLI1/BMP5/THBS4/TACR1/ID2/ERRFI1/APOA1/KLF9/NR4A3/NKX2-3/TEK/TNFSF11/NR4A1/DBH/BMP4/SOX9/GDF5/SIX1/ZFP36/DLL4/RGN/LOXL2/LAMC1/EDNRB/IL6/IL10/MYC/CCN3/SULF1/THBS1/EGF/LGR5/PDX1/BRCA2/CDH13/IGFBP4/EPHA2/PROK1/ECM1/VASH2/DUSP10/OSR1/REG3G/COL8A1/AGTR1/IGFBP3/GPC3/CDKN2B/WNT3A/WNT7A/CD109/NODAL/MMP14/XDH/SGPP2/PYGO2/PROK2/IHH/RETNLB/HMGB2/SPINK1/FABP7/BMPER/OSR2/JCAD/STXBP4/NKX3-1/IGF2/OR51E2/IL12A/ATOH8/MAP2K1/AR/ZEB2/ROBO1/HAS2/LRG1/APLN/MCC/SCG2/REG3A/OVOL1/CD34/LEP/SFN/NUPR1/SOX11/FUT2/EGR3/SOX2/TMIGD1/NKX2-5/CCR3/ZNF703/IQGAP3/SCN5A/TACSTD2/ZFP36L1/FOXE3/HMX2/C5AR1/HES5/PLXNB3/MIR126/MIR483/ZNF580/ANG/NME1/BGLAP/APELA/NOX5/EPPK1/MMP12/GDF2/UHRF1/DACH1",146
"GO:0060563","neuroepithelial cell differentiation","21/4095","44/18986",0.477272727272727,2.21282051282051,4.22357565382723,0.000104830298709476,0.00253055465256828,0.00205126932929681,"DLX3/WNT11/SERPINE1/LHX3/B9D1/SOX4/BMP4/NKX2-2/MAP1B/EMX1/LEF1/ASCL1/VAX1/DLG5/NODAL/WNT4/MSX1/OTP/INSM1/SOX11/POU3F2",21
"GO:0030856","regulation of epithelial cell differentiation","56/4095","172/18986",0.325581395348837,1.50952096998609,3.52010840540772,0.000522243663546068,0.00850346594815229,0.00689291530394794,"PAX6/TP73/PKP1/MMP9/BMP7/ESRP1/SERPINE1/EZH2/SFRP4/GATA3/FOXN1/CYP27B1/ERRFI1/HOXA7/BMP4/SOX9/IL1B/PAX8/NKX2-2/ZFP36/FOXJ1/HEY2/SPRY2/LEF1/ASCL1/OSR1/REG3G/ABCA12/CDKN2B/CD109/NODAL/XDH/FRZB/MSX1/AQP3/MESP1/ATOH8/SIX2/REG3A/SFN/ETV4/ZBED2/ALOX15B/PLCB1/GDF3/MAFF/ZFP36L1/FOXE3/SPRED3/MAFG/HES5/TRIM16/TLR9/GDF2/CD24/LHX1",56
"GO:0060562","epithelial tube morphogenesis","96/4095","331/18986",0.290030211480363,1.34469196463154,3.31755286111253,0.000817502751729165,0.0116242172095188,0.00942259840733736,"HOXA11/TEAD2/WNT11/ESR1/SIX4/MTHFD1/NFATC4/SALL4/BMP7/FOXF1/EYA1/TMEM59L/WNT2/LHX2/GATA3/KAT2A/FOLR1/MDK/BMP5/WNT6/TCF21/MTHFD1L/STIL/SDC4/BMP4/SOX9/HS3ST3B1/PAX8/WNK4/SIX1/PODXL/DLL4/SPRY2/MYC/LBX1/LEF1/EGF/SEC24B/LGR5/FOXN4/EPHA2/OSR1/RHOB/ADAMTS16/GPC3/RSPO2/ADM/DLG5/HS3ST3A1/DNAAF1/WNT3A/NODAL/MMP14/FOXH1/WNT4/VANGL2/KIF26B/IHH/HAND2/HHIP/CITED2/TBX20/DLC1/CTHRC1/STOX1/RET/SPINT1/MESP1/NKX3-1/GBX2/NPNT/AR/IRX2/SIX2/SOSTDC1/BSG/TCAP/FOXC2/IRX3/SCRIB/RGMA/CSF1R/NKX2-5/CSMD1/TACSTD2/WT1/COL4A1/SRC/HES5/RYR2/DDR1/TRIM71/FOXD1/HOXB7/GDF2/LHX1",96
"GO:0050678","regulation of epithelial cell proliferation","114/4095","406/18986",0.280788177339901,1.30184232844331,3.22396728611656,0.00104721189834018,0.0139957847700915,0.0113449926913023,"ARX/DLX6/CCL26/PAX6/IGF1/SNAI2/PTPRN/NGFR/TGFBR3/CPB2/APOH/HMOX1/SIX4/EYA1/SFRP1/DLX5/WNT2/GATA3/CXCL12/CCL2/ODAM/MDK/GLI1/BMP5/THBS4/TACR1/KLF9/NR4A3/NKX2-3/TEK/NR4A1/DBH/BMP4/SOX9/GDF5/SIX1/ZFP36/DLL4/RGN/LAMC1/EDNRB/IL10/MYC/SULF1/THBS1/EGF/PDX1/BRCA2/CDH13/PROK1/ECM1/VASH2/DUSP10/OSR1/REG3G/AGTR1/GPC3/CDKN2B/WNT3A/WNT7A/CD109/NODAL/XDH/SGPP2/PYGO2/IHH/HMGB2/SPINK1/OSR2/JCAD/STXBP4/NKX3-1/IGF2/IL12A/ATOH8/AR/ROBO1/HAS2/LRG1/APLN/MCC/SCG2/REG3A/OVOL1/LEP/SFN/NUPR1/SOX11/FUT2/EGR3/SOX2/TMIGD1/NKX2-5/CCR3/ZNF703/IQGAP3/SCN5A/TACSTD2/ZFP36L1/FOXE3/HMX2/C5AR1/HES5/PLXNB3/MIR126/MIR483/ZNF580/ANG/NME1/APELA/EPPK1/MMP12/GDF2/UHRF1",114
"GO:0050679","positive regulation of epithelial cell proliferation","66/4095","216/18986",0.305555555555556,1.41667345000678,3.22969037905792,0.00121084745062815,0.0156584147513243,0.0126927216893742,"DLX6/CCL26/IGF1/PTPRN/HMOX1/EYA1/SFRP1/DLX5/WNT2/CXCL12/ODAM/MDK/BMP5/THBS4/TACR1/NR4A3/TEK/NR4A1/BMP4/SOX9/LAMC1/IL10/MYC/EGF/PDX1/CDH13/PROK1/ECM1/VASH2/OSR1/REG3G/AGTR1/WNT3A/WNT7A/NODAL/IHH/HMGB2/SPINK1/OSR2/JCAD/STXBP4/IGF2/AR/HAS2/LRG1/APLN/SCG2/REG3A/SOX11/EGR3/NKX2-5/CCR3/ZNF703/IQGAP3/SCN5A/FOXE3/HMX2/C5AR1/PLXNB3/MIR126/ZNF580/ANG/NME1/APELA/MMP12/GDF2",66
"GO:0002065","columnar/cuboidal epithelial cell differentiation","43/4095","132/18986",0.325757575757576,1.51033781033781,3.08541283706846,0.00215483527738721,0.0242681991095254,0.0196718187691045,"PAX6/ROS1/DLX3/CBFA2T2/PKP1/WNT11/BMP7/SERPINE1/AGR2/LHX3/B9D1/NKX3-2/BMP5/SPDEF/SOX4/BMP4/SOX9/NKX2-2/MAP1B/IL6ST/EMX1/KLF4/LEF1/ASCL1/PDX1/VAX1/DLG5/NODAL/WNT4/MSX1/IL31RA/CDX2/WDR72/OTP/INSM1/SOX11/TYMS/TMIGD1/POU3F2/RFX6/SRC/TLR9/PERCC1",43
"GO:0048754","branching morphogenesis of an epithelial tube","49/4095","158/18986",0.310126582278481,1.4378664935627,2.89826761439679,0.00347182722967006,0.0342969651907227,0.0278011434024112,"HOXA11/ESR1/SIX4/NFATC4/BMP7/FOXF1/EYA1/TMEM59L/WNT2/MDK/WNT6/TCF21/BMP4/SOX9/HS3ST3B1/PAX8/SIX1/DLL4/SPRY2/MYC/LEF1/EGF/EPHA2/ADAMTS16/GPC3/RSPO2/DLG5/HS3ST3A1/MMP14/WNT4/IHH/HHIP/TBX20/NKX3-1/GBX2/NPNT/AR/SIX2/FOXC2/CSMD1/TACSTD2/WT1/COL4A1/SRC/DDR1/FOXD1/HOXB7/GDF2/LHX1",49
"GO:0070633","transepithelial transport","15/4095","37/18986",0.405405405405405,1.87961587961588,2.80847845871336,0.00703899502129266,0.0568597418840606,0.0460905455964497,"CFTR/CLDN18/SLC1A3/PKP1/SLC5A1/AQP8/SLC1A1/RHBG/EDNRB/RHCG/CLDN19/CLCNKB/CLCNKA/P2RY4/SLC26A6",15
"GO:0030858","positive regulation of epithelial cell differentiation","25/4095","74/18986",0.337837837837838,1.56634656634657,2.55976280410013,0.0102330194049382,0.0742788401561246,0.0602104785499736,"PAX6/TP73/PKP1/BMP7/SERPINE1/SFRP4/FOXN1/CYP27B1/BMP4/SOX9/PAX8/NKX2-2/FOXJ1/LEF1/CDKN2B/MESP1/ATOH8/SFN/ETV4/ZBED2/ALOX15B/TRIM16/GDF2/CD24/LHX1",25
"GO:0042045","epithelial fluid transport","7/4095","13/18986",0.538461538461538,2.4965154503616,2.83044812469623,0.010743043386226,0.0762046403296302,0.0617715334856009,"CFTR/CLDN18/PKP1/SLC5A1/AQP8/EDNRB/SLC26A6",7
"GO:0060391","positive regulation of SMAD protein signal transduction","15/4095","40/18986",0.375,1.73864468864469,2.45231994577091,0.0157393205456896,0.101896557545275,0.0825974191236757,"TGFBR3/BMP7/AMH/BMP5/INHBA/BMP4/GDF5/KIAA0319/GDF6/NODAL/BMP10/BMPER/ATOH8/PSG9/GDF2",15
"GO:0001838","embryonic epithelial tube formation","35/4095","115/18986",0.304347826086957,1.41107395020439,2.31868493970608,0.0162925325272436,0.10447405193984,0.0846867378398867,"TEAD2/SIX4/MTHFD1/SALL4/BMP7/LHX2/GATA3/KAT2A/FOLR1/BMP5/WNT6/MTHFD1L/STIL/SDC4/BMP4/SOX9/PAX8/SIX1/SEC24B/OSR1/ADM/NODAL/WNT4/VANGL2/CITED2/DLC1/CTHRC1/RET/SPINT1/IRX2/IRX3/SCRIB/RGMA/HES5/TRIM71",35
"GO:0072175","epithelial tube formation","38/4095","128/18986",0.296875,1.37642704517705,2.24082690216729,0.019076723517133,0.114688593079559,0.0929666518624825,"TEAD2/SIX4/MTHFD1/SALL4/BMP7/LHX2/GATA3/KAT2A/FOLR1/BMP5/WNT6/MTHFD1L/STIL/SDC4/BMP4/SOX9/PAX8/SIX1/PODXL/EGF/SEC24B/OSR1/ADM/NODAL/WNT4/VANGL2/CITED2/DLC1/CTHRC1/RET/SPINT1/IRX2/TCAP/IRX3/SCRIB/RGMA/HES5/TRIM71",38
"GO:0010669","epithelial structure maintenance","14/4095","38/18986",0.368421052631579,1.70814215024741,2.29139983568273,0.022687323246157,0.13192964442303,0.106942259854115,"VSIG1/PBLD/SOX9/TLR4/RBP4/ILDR1/TFF3/TFF1/INAVA/HTR4/MUC13/SCRIB/MUC2/TLR9",14
"GO:0033598","mammary gland epithelial cell proliferation","10/4095","26/18986",0.384615384615385,1.78322532168686,2.09567797560029,0.0376587991589005,0.183952157773829,0.149111744698524,"ESR1/GATA3/ID2/TNFSF11/BRCA2/EPHA2/PYGO2/ROBO1/ZNF703/IQGAP3",10
"GO:0060571","morphogenesis of an epithelial fold","9/4095","23/18986",0.391304347826087,1.81423793597707,2.04895325314513,0.0426714009905536,0.198622933758721,0.161003885729443,"BMP7/WNT2/BMP5/BMP4/HOXD13/SULF1/NODAL/AR/SOSTDC1",9
"GO:1904019","epithelial cell apoptotic process","24/4095","80/18986",0.3,1.39091575091575,1.83737861858142,0.0483162296092724,0.212509518366206,0.172260360694373,"E2F2/FGF4/WNT11/ESR1/HMOX1/E2F1/SFRP4/MDK/DNMT3A/ZFP36/IL6/SIX3/LEF1/PDX1/PRKAA2/HAND2/PLA2G1B/NUPR1/UMODL1/ANXA2/NKX2-5/JAG2/ZFP36L1/RYR2",24
"GO:0060575","intestinal epithelial cell differentiation","10/4095","28/18986",0.357142857142857,1.65585208442351,1.82120561797287,0.0614510766834292,0.247553237764811,0.200666823567595,"CBFA2T2/NKX3-2/SPDEF/SOX9/IL6ST/CDX2/TYMS/TMIGD1/SRC/TLR9",10
"GO:0060576","intestinal epithelial cell development","7/4095","18/18986",0.388888888888889,1.80303893637227,1.78744384673563,0.0729017778603955,0.27433974170063,0.222379981948454,"NKX3-2/SPDEF/IL6ST/TYMS/TMIGD1/SRC/TLR9",7
"GO:0030857","negative regulation of epithelial cell differentiation","17/4095","56/18986",0.303571428571429,1.40747427175999,1.60136090183379,0.0788824855672489,0.292602811264339,0.23718403860727,"MMP9/EZH2/HOXA7/SOX9/SPRY2/OSR1/REG3G/NODAL/XDH/FRZB/MSX1/SIX2/REG3A/GDF3/FOXE3/SPRED3/HES5",17
"GO:0033599","regulation of mammary gland epithelial cell proliferation","6/4095","15/18986",0.4,1.85455433455433,1.73624305222409,0.0834164395048447,0.300299182217441,0.243422722157125,"GATA3/BRCA2/PYGO2/ROBO1/ZNF703/IQGAP3",6
"GO:0072148","epithelial cell fate commitment","6/4095","15/18986",0.4,1.85455433455433,1.73624305222409,0.0834164395048447,0.300299182217441,0.243422722157125,"ARX/HOXA13/SPDEF/NKX2-2/PDPN/SOSTDC1",6
"GO:0035850","epithelial cell differentiation involved in kidney development","15/4095","49/18986",0.306122448979592,1.41930178664873,1.54113074780819,0.0893020596799025,0.317450472423763,0.257325569709693,"MMP9/GATA3/PAX8/PODXL/FOXJ1/EDNRB/OSR1/NPHS1/SIX2/CD34/FOXC2/ADIPOQ/WT1/CD24/LHX1",15
